(2311, -1064, -90)
(-702, -564, 1518)
(3531, -1150, -50)
(-1827, 1612, 1934)
(1742, -3247, 648)
(2745, 750, -834)
(1991, -646, 2861)
(4433, -414, 1770)
(-674, -732, -518)
(4095, 4172, 435)
(1579, -3243, 750)
(4154, -540, -752)
(7693, 539, 700)
(4166, 3030, 2763)
(4059, 4238, 376)
(2860, -743, 3008)
(6742, 3168, 590)
(4155, 4428, -748)
(3114, 3102, 475)
(6588, -468, -376)
(4156, -1565, -881)
(-721, 546, 1722)
(2687, 580, -870)
(7607, -478, 808)
(1776, 521, -1859)
(4420, 576, 380)
(6510, -1672, 619)
(4836, 3581, -109)
(6607, 363, 1769)
(3883, 527, -446)
(4842, -1063, -31)
(3012, 930, 2912)
(1546, -473, -1719)
(3959, 354, -427)
(4075, 3163, -874)
(5356, -1580, 1843)
(-891, 535, 636)
(3033, 884, -1752)
(3619, 2387, 2322)
(7600, -717, 1603)
(-1195, 1155, 1073)
(1490, -1572, 710)
(-639, -583, -417)
(6741, -496, 1820)
(5309, 1700, 1871)
(478, -762, 1824)
(399, 430, 419)
(3004, -448, 1851)
(5277, 1570, 1931)
(1656, -856, 1827)
(493, 437, 388)
(1889, -806, -719)
(2866, -1841, 579)
(4065, -1837, 1934)
(5097, 936, 499)
(1989, 763, 1689)
(-26, 1261, 1092)
(4072, 2138, 2993)
(4228, 478, -1657)
(6531, -422, 315)
(2863, -657, 2858)
(2386, 43, -1219)
(3071, 3236, 471)
(532, -2914, -702)
(4111, -489, 679)
(2833, 1957, -920)
(770, -1522, 793)
(5484, 4370, -526)
(6325, 1656, 294)
(1480, 880, 592)
(7577, -579, 1635)
(6492, 487, 574)
(4216, 4452, -825)
(1726, -2971, -409)
(6537, -1760, 691)
(5138, -613, 483)
(4696, -48, -32)
(-108, -2, 1091)
(6773, 3192, 541)
(1734, 779, 1712)
(5426, 627, -675)
(5228, 3316, -639)
(-593, 535, 1864)
(-367, 419, -378)
(3563, 1177, -1238)
(761, -2994, 500)
(4143, -1880, 698)
(4646, -1230, 1172)
(1719, 2897, 1689)
(5496, 4318, -528)
(5563, 2945, 487)
(1734, -837, 2016)
(5213, -316, -916)
(410, 1901, 1821)
(3642, 21, 53)
(4260, 1856, 1921)
(1693, -809, 1801)
(1209, -44, -117)
(3001, 673, 1492)
(-1888, 1871, 454)
(2384, 75, -39)
(3210, -1775, -1699)
(4109, 3104, 392)
(466, 417, 330)
(3197, -719, -1887)
(1638, 2983, 1625)
(7592, -361, 753)
(2834, -857, 2865)
(-139, 32, -50)
(6547, 3021, 1851)
(424, 535, 1960)
(1482, -1472, 579)
(4219, -409, 1835)
(5212, -699, 432)
(2893, -533, 707)
(6653, -1746, -754)
(1933, 1907, 350)
(-1982, 621, 2040)
(-1307, 1225, 1264)
(694, -1863, -500)
(1599, -453, -1590)
(1602, 721, 3140)
(5463, -1569, 725)
(1547, 571, 3096)
(4247, -460, 625)
(5254, 1930, -686)
(-1881, 676, 1996)
(3155, 768, -1714)
(1519, -1598, 559)
(6677, -606, 1798)
(-1877, 1733, 535)
(6835, 1899, 1930)
(1947, 760, 1768)
(4654, 3651, -55)
(5367, 3293, 1901)
(5959, -1164, -52)
(4234, 358, -1565)
(4786, 1311, -100)
(5474, -632, 1758)
(1678, 900, 577)
(7700, 706, 1728)
(5129, 1885, 817)
(4264, 2996, 1570)
(1459, 3158, 833)
(5982, 2350, 1204)
(5196, 3984, 557)
(280, 3292, 1861)
(3094, -1882, -1665)
(7219, 107, 1099)
(3039, 2060, 350)
(4080, 1722, -808)
(622, -1870, -437)
(4050, -525, -722)
(-437, 379, -523)
(1894, -1825, -1716)
(576, -2916, -795)
(752, -1492, 839)
(3139, 1955, 1690)
(5220, 592, -629)
(2422, 1245, 1088)
(4009, 1821, 566)
(525, -773, 1610)
(1776, 1694, 1805)
(5125, 1859, 811)
(4651, 49, 1197)
(3003, 2860, 1538)
(4274, -1599, -902)
(1982, 580, -400)
(5294, 3960, 522)
(5268, 3158, 1912)
(2800, -836, -757)
(6690, -448, 1744)
(6719, 405, 1684)
(2364, 120, 2436)
(1877, -1903, -546)
(4086, 4223, 1660)
(-677, -587, 639)
(3913, 3110, -929)
(-494, -530, 1567)
(4257, -681, -1894)
(1600, 3085, 816)
(4147, -1841, 1998)
(1554, -379, -1763)
(4389, -724, -1883)
(1984, -704, 2981)
(4148, 3114, -871)
(1525, 724, 3215)
(4172, 2010, -1828)
(3985, 2958, 2775)
(3978, 1840, 543)
(661, -319, 468)
(-1646, 740, 633)
(2893, 1809, -1658)
(1642, -3012, -566)
(-1956, 591, 1895)
(3228, -616, -1827)
(5359, 3334, -514)
(1150, 1170, 1238)
(4088, 1645, -899)
(4080, 504, 1850)
(1156, -1110, 0)
(6575, -433, -423)
(5104, 744, 545)
(7724, -348, 774)
(2258, -1084, -1294)
(7692, 669, 1767)
(5461, 3121, 490)
(3029, 524, 812)
(5122, 587, 1562)
(380, -735, 1659)
(2926, 757, 1468)
(-560, -513, 617)
(743, -1660, 817)
(5181, 3291, -554)
(2858, 607, 790)
(5274, 4024, 643)
(-1559, 760, 782)
(5166, 844, 522)
(4032, 4200, 1614)
(4095, -540, -715)
(2815, 3169, 3199)
(2008, -734, -768)
(2951, -1856, -836)
(1605, 485, -1790)
(2942, -608, 734)
(6362, 1715, 346)
(4667, 2416, 1107)
(3066, 2081, 1594)
(1906, 1952, 531)
(5521, -1523, 699)
(-711, 1548, 665)
(-1802, 1575, 1873)
(1584, -3060, -396)
(725, 2786, 486)
(659, 463, -650)
(5233, 637, -602)
(636, 2963, 485)
(3176, -718, -1876)
(-675, -616, -588)
(428, 444, 1908)
(5483, -632, 1529)
(1751, 433, -1784)
(4073, 505, 1879)
(4795, -1101, 1147)
(-1662, 683, 858)
(-743, 559, 1837)
(1850, 1911, 401)
(2944, -1966, 630)
(2407, -56, 2353)
(5875, 60, 1232)
(1714, 1609, 1827)
(4649, 1142, -132)
(1804, 1611, 1786)
(1197, -2278, -42)
(4099, 1612, -880)
(727, 2093, 687)
(2938, 1913, 315)
(-396, 433, -346)
(-795, 1823, 1858)
(2962, -1917, 689)
(3051, 2960, 1560)
(5179, 1986, 721)
(4094, 2058, 3059)
(385, 1914, 1722)
(699, -2056, -456)
(4088, 3165, 516)
(-698, -415, 664)
(6561, -1608, 716)
(1925, -1815, -608)
(4768, 2501, -110)
(4337, 475, -1616)
(2898, -1661, -796)
(452, -2912, -865)
(1629, 776, 614)
(2839, -550, 677)
(427, -359, -463)
(-660, 1569, 667)
(4175, 3055, 1476)
(497, -409, -534)
(4339, 668, 372)
(6534, 3122, 1735)
(4811, 14, 1067)
(2337, 2537, 1137)
(3015, 2071, 337)
(3625, 40, -1267)
(5108, 1905, -693)
(27, -10, 1261)
(5429, 1682, 1936)
(5270, 4387, 1938)
(5916, 2525, 1112)
(2276, -31, 1238)
(7618, 456, 603)
(2701, 746, -884)
(-843, 1828, 1926)
(1057, -2452, -21)
(3167, 3149, 510)
(2903, 650, 1576)
(2269, 1144, 1177)
(5096, -544, 437)
(-787, 546, 758)
(2417, -1209, -23)
(4837, 129, 1257)
(2802, -752, -706)
(796, 604, -650)
(3049, -450, 1917)
(4051, 3091, 352)
(393, 2029, 1830)
(7729, 727, 1916)
(1236, 102, 43)
(3092, -1728, -810)
(5554, 2974, 473)
(3109, -1847, -1771)
(4690, -1234, -84)
(5159, 786, 1520)
(4304, 1965, 2006)
(5279, 3126, 1858)
(4784, 3640, 1213)
(3458, 2352, 2446)
(2407, -42, 1073)
(-133, 1181, 1251)
(5522, -1825, -446)
(1858, -1782, -491)
(3041, 831, 2821)
(592, 2020, 654)
(4659, 3558, 1100)
(367, 3283, 1731)
(6306, 1666, 438)
(4113, -1781, 754)
(3998, 4262, 455)
(7588, -675, 1601)
(5506, -2046, -411)
(1849, -1737, -1832)
(3146, 1968, 1489)
(5522, -1533, 624)
(4017, 616, 1857)
(5849, -1068, 60)
(1842, 578, -492)
(4076, 2092, -1931)
(4318, 2015, 1945)
(6615, -1621, -647)
(-1756, 1570, 2036)
(1057, 1334, 1072)
(1774, -1773, -1836)
(2694, 2017, 2769)
(-647, -440, 1612)
(2913, -482, 1863)
(6680, -411, -480)
(3463, -53, -121)
(723, -2947, 373)
(1680, -527, 816)
(1612, -481, 720)
(2246, -53, -1138)
(564, 622, -643)
(3971, 1893, 703)
(-712, 512, 618)
(6702, 3244, 640)
(2880, 1787, -904)
(6586, 380, 1816)
(5517, 4515, -477)
(4061, 1932, -1905)
(4244, 4356, -690)
(3005, 716, -1799)
(6772, 1849, 1832)
(2940, 582, 814)
(436, -321, 503)
